experiment,window,kernel,train_acc,val_acc
2,100,poly,0.6803621169916435,0.6989514348785872
2,100,rbf,0.7733286908077994,0.7637969094922737
2,100,sigmoid,0.4942200557103064,0.5747792494481236
2,150,poly,0.6844964479732554,0.7015728476821192
2,150,rbf,0.7703719180944422,0.757864238410596
2,150,sigmoid,0.4511073965733389,0.48116721854304634
2,200,poly,0.6919754806352745,0.7116445916114791
2,200,rbf,0.7702702702702703,0.7560706401766004
2,200,sigmoid,0.4807745890220117,0.6396247240618101
2,250,poly,0.6943573667711599,0.7091097308488613
2,250,rbf,0.7666318355973528,0.7484472049689441
2,250,sigmoid,0.4836293974225009,0.5762594893029676
2,300,poly,0.7017140468227425,0.7125103562551781
2,300,rbf,0.7719481605351171,0.752278376139188
2,300,sigmoid,0.544732441471572,0.6275890637945319
