experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.2240575123193909,0.2492676654341902,0.9043239951133728,0.9028796553611755
3,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.1462097774338386,0.2710732146170281,0.9399873614311218,0.9099062085151672
3,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.1932648477369197,0.22686724828209742,0.9240381717681885,0.9217391014099121
3,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.1728624032621973,0.2219353057646557,0.928897500038147,0.9177989363670349
3,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.11612005669936017,0.2654886991004115,0.9557521939277649,0.9163947701454163
