experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",28.53464335592342,109.26673013153427,0.850300669670105,0.8609947562217712
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.03492983767620731,0.6114242466040098,0.9887217879295349,0.8570867776870728
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.31502629658172615,0.2982713028847079,0.8597822785377502,0.8748691082000732
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.0210664715481848,0.6340476298422968,0.9957035183906555,0.8444662690162659
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.06233032375513252,0.8569629487275263,0.9830180406570435,0.8695993423461914
