experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.22007969799071705,0.26996668254398304,0.9058682918548584,0.8911980390548706
3,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.2307101180927958,0.2517243653909798,0.9015582203865051,0.906033456325531
3,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.15642224935560003,0.22966539391918114,0.934709370136261,0.9133152365684509
3,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.19858868185723766,0.23680344208791404,0.9192415475845337,0.9116848111152649
3,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.19934608562179523,0.21659972136430017,0.9195111393928528,0.9237357378005981
