experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.2054213803790738,0.3424134894877714,0.913997232913971,0.868653416633606
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.22498948537700603,0.3272209797410714,0.9057668447494507,0.8723096251487732
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.03529526270442303,0.5329323021949894,0.992337703704834,0.8758277893066406
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.16241235188161485,0.3074940849221559,0.9348658919334412,0.8819875717163086
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.1950500723609956,0.33226194794119246,0.9230769276618958,0.8777961730957031
