experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.3436101869960558,0.2662743843772512,0.8472222089767456,0.9037958383560181
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.15687501069106297,0.16502470259134547,0.9357680082321167,0.9393404126167297
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.17411587742671897,0.16375564846480803,0.9250931143760681,0.9481675624847412
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.12216165949911616,0.18388060424794012,0.9514858722686768,0.9462999105453491
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.12961723570898495,0.1465374110090983,0.9505589008331299,0.9454045295715332
