experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.10534681211274978,0.4948745888401284,0.9565459489822388,0.8832781314849854
2,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.1382406211975375,0.4042857274583979,0.9421228766441345,0.8884519934654236
2,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.0412674816636537,0.6973407098871194,0.9863471984863281,0.889072835445404
2,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.1445981840541744,0.2587073064558823,0.9402647018432617,0.8937197923660278
2,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.013965131088477687,0.6448831189556515,0.9966555237770081,0.9051367044448853
