experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.20445947029464423,0.30350049032092663,0.9203342795372009,0.8883830308914185
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.14984899745593247,0.3400417527279345,0.9431675672531128,0.8990066051483154
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.15508987768492216,0.30226651307162145,0.9360545873641968,0.9081125855445862
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.15375397939303742,0.25944124384872547,0.940090537071228,0.9071773886680603
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.18678130807485868,0.27095602365101085,0.9270485043525696,0.9101077318191528
