experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.17884266516460448,0.3012342582285149,0.9211053848266602,0.8850785493850708
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.2735410758619278,0.3661540412582811,0.8805585503578186,0.8828033208847046
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.15546587458724997,0.36452906713845373,0.9336866140365601,0.8808900713920593
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.16697398386162068,0.3383936562968635,0.9276763200759888,0.8598559498786926
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.41479577258652073,0.36407422105205967,0.8228718638420105,0.8923801779747009
