experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.21220181718579542,0.26803710815342785,0.9121156930923462,0.8910622000694275
3,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.23696442678253835,0.26148544914760014,0.9016634821891785,0.8940073251724243
3,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.06626441293102876,0.3347913838936897,0.9764111042022705,0.8989130258560181
3,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.04338703124543254,0.37096408855375,0.9826194047927856,0.9035326242446899
3,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.09667916283042048,0.44919864396751796,0.965865969657898,0.9004893898963928
