experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.15932499360451038,0.2526345111171814,0.9380727410316467,0.9147905707359314
1,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.17847093655202623,0.24515103003764535,0.9253491163253784,0.9255987405776978
1,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.22941572944556562,0.2173778681547737,0.90303635597229,0.9337696433067322
1,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.12370571093963885,0.27081413994101533,0.9525599479675293,0.9250163435935974
1,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.2018501780741397,0.1942258434343091,0.9168099761009216,0.9367635250091553
