experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.18636363661720892,0.347102317586085,0.9215877652168274,0.874862015247345
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.17559885415468462,0.3216905075399859,0.9270789623260498,0.8824503421783447
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.07302673960270141,0.3894363288701076,0.9754806160926819,0.879690945148468
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.04043987528455046,0.4766203736725859,0.9879832863807678,0.8895789980888367
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.13130919348735076,0.3669040938526818,0.9473243951797485,0.87903892993927
