experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.03682918362241643,0.6035248984929643,0.9889276027679443,0.8836920261383057
2,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.02911271053974272,0.5899625456821869,0.99049311876297,0.8930049538612366
2,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.050195961028615656,0.47797075618227025,0.9841181635856628,0.8973509669303894
2,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.06869737492002954,0.4369474067749601,0.9756182432174683,0.9037266969680786
2,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.042807495779043254,0.460734027890024,0.9859949946403503,0.9096934795379639
