experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.20311430414108067,0.3379341913350603,0.9111540913581848,0.8846858739852905
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.1454173216790313,0.34257950085062794,0.9380236268043518,0.8745583295822144
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.2091892633797343,0.3158413947503913,0.9109137654304504,0.8795811533927917
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.32564199071096084,0.4118862795705471,0.8575009107589722,0.7701375484466553
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.33771489851452213,0.4052464150474681,0.8540412783622742,0.8299292922019958
