experiment,window,neighbors,train_acc,val_acc
1,100,1,1.0,0.7356020942408377
1,100,2,0.7640320733104238,0.5950261780104712
1,100,5,0.8484392898052692,0.7193717277486911
1,100,10,0.7710481099656358,0.6706806282722513
1,100,50,0.7467067583046965,0.6825916230366492
1,100,100,0.7289518900343642,0.6452879581151832
1,100,250,0.7016036655211912,0.5963350785340314
1,100,500,0.6534936998854525,0.5387434554973822
1,100,1000,0.5937142038946163,0.48769633507853405
1,150,1,1.0,0.7420494699646644
1,150,2,0.761546723952739,0.6117000392618768
1,150,5,0.8415682062298604,0.732037691401649
1,150,10,0.7630504833512353,0.6729485669414998
1,150,50,0.7425349087003222,0.693168433451119
1,150,100,0.723093447905478,0.6615626226933647
1,150,250,0.6843179377013964,0.5789163722025913
1,150,500,0.6233082706766917,0.513937966234786
1,150,1000,0.5708915145005371,0.4691794267765999
1,200,1,1.0,0.7630890052356021
1,200,2,0.7727012317387568,0.6308900523560209
1,200,5,0.8450300773417359,0.7628272251308901
1,200,10,0.7704096247493555,0.7039267015706806
1,200,50,0.7397593812661128,0.7005235602094241
1,200,100,0.7212832999140647,0.6599476439790576
1,200,250,0.6579776568318534,0.5575916230366492
1,200,500,0.6029790890862217,0.4950261780104712
1,200,1000,0.5581495273560584,0.46361256544502616
1,250,1,1.0,0.7426326129666012
1,250,2,0.7647690655209453,0.5952848722986247
1,250,5,0.853562477622628,0.7357563850687623
1,250,10,0.763515932688865,0.677472167648985
1,250,50,0.7388113139992839,0.6863130320890635
1,250,100,0.7096312209094164,0.6470203012442698
1,250,250,0.6396348012889366,0.537328094302554
1,250,500,0.5873612602935911,0.47413228552717746
1,250,1000,0.5519155030433226,0.4590700720366732
1,300,1,1.0,0.7580518460329929
1,300,2,0.7811693895098882,0.6095836606441477
1,300,5,0.8607050730868444,0.7380204241948154
1,300,10,0.7742906276870163,0.6873527101335428
1,300,50,0.7343078245915735,0.6539670070699136
1,300,100,0.7098022355975925,0.6186174391201885
1,300,250,0.6287618228718831,0.5200314218381775
1,300,500,0.577171109200344,0.4744697564807541
1,300,1000,0.5533104041272571,0.4626865671641791
