experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.24926210344925567,0.2602266204846502,0.892882227897644,0.8940505385398865
3,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.21823827186228728,0.24446718100428258,0.9105075001716614,0.9050142765045166
3,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.1671145622757371,0.2559925967363834,0.9293738007545471,0.906521737575531
3,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.18088659991541606,0.21411841865459713,0.9271418452262878,0.91576087474823
3,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.1485760704152289,0.2447359979205,0.9372102618217468,0.915986955165863
