experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.039682887431689115,1.6785226786635934,0.9898338913917542,0.8624345660209656
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.025839293526863694,0.6849935133343626,0.9917293190956116,0.8596388101577759
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.019583474385835693,0.7878292118759913,0.9949871301651001,0.8709424138069153
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.04226487385448518,0.7350285683222452,0.9889008402824402,0.8686968088150024
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.12034827027460264,0.3146546164702021,0.955502986907959,0.8684210777282715
