experiment,window,kernel,train_acc,val_acc
3,100,poly,0.6726098553980064,0.6487367563162184
3,100,rbf,0.7537554401235435,0.7411029611518609
3,100,sigmoid,0.5161448827741121,0.5378973105134475
3,150,poly,0.6874078753421773,0.6657154504688138
3,150,rbf,0.7570014739945251,0.7498980839788014
3,150,sigmoid,0.4863129079806275,0.4563799429270281
3,200,poly,0.6989609660207807,0.683695652173913
3,200,rbf,0.7583543948329121,0.7516304347826087
3,200,sigmoid,0.5204998595900028,0.5478260869565217
3,250,poly,0.6990870786516854,0.6820652173913043
3,250,rbf,0.7587780898876404,0.7493206521739131
3,250,sigmoid,0.5138693820224719,0.5074728260869565
3,300,poly,0.7045933417614834,0.6884176182707994
3,300,rbf,0.7581120943952803,0.7504078303425775
3,300,sigmoid,0.573535608933839,0.5395595432300163
