experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.13840474162297697,0.25897419413872286,0.9461626410484314,0.9256544709205627
1,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.09233840172580182,0.3204162379658756,0.9651986956596375,0.9218688607215881
1,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.10450779177745752,0.22469503362419288,0.9619020223617554,0.9243455529212952
1,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.034713455091400294,0.33033382669826156,0.9915860891342163,0.9305828213691711
1,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.01948122810776588,0.2667319868595792,0.9933362007141113,0.9520816802978516
