experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.22169676968869945,0.2659669510673883,0.9031307101249695,0.8973104953765869
3,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.1862278354810549,0.26077250219687714,0.922510027885437,0.8986954689025879
3,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.14789848869033023,0.26193010350255896,0.9445380568504333,0.9013587236404419
3,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.12753589338298593,0.2557843833359505,0.9522472023963928,0.9038723111152649
3,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.19067953800130283,0.25572312506891,0.9228824377059937,0.9033442139625549
