experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.11096734662324938,0.47144598471499805,0.9552924633026123,0.8853476643562317
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.11248379300639962,0.46579615502140836,0.9529879093170166,0.8956953883171082
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.1329070691005803,0.42440888041572694,0.945806622505188,0.8970750570297241
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.14359869468387557,0.33887855767216496,0.9380006790161133,0.8985507488250732
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.1717824360798035,0.3150248359996816,0.9301839470863342,0.9047224521636963
