experiment,window,kernel,train_acc,val_acc
1,100,poly,0.678479381443299,0.6022251308900524
1,100,rbf,0.7571592210767468,0.6535340314136125
1,100,sigmoid,0.5463917525773195,0.4712041884816754
1,150,poly,0.6936627282491944,0.6307420494699647
1,150,rbf,0.7588614393125671,0.660581075775422
1,150,sigmoid,0.48270676691729325,0.47487239890066746
1,200,poly,0.6985104554568892,0.6460732984293194
1,200,rbf,0.7559438556287597,0.6727748691099477
1,200,sigmoid,0.5058722429103408,0.537696335078534
1,250,poly,0.6997851772287863,0.6509495743287492
1,250,rbf,0.7581453634085213,0.674852652259332
1,250,sigmoid,0.46759756534192626,0.5582842174197773
1,300,poly,0.7057179707652622,0.6602513747054203
1,300,rbf,0.7573086844368013,0.6708562450903378
1,300,sigmoid,0.5599742046431643,0.5353495679497251
