experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.035163016049684255,0.770929238071086,0.9885097742080688,0.8857616186141968
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.10334662015511309,0.44419118622009524,0.9559130668640137,0.8932119011878967
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.0703496821650259,0.5242285504422434,0.9749233722686768,0.8970750570297241
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.01578088409488924,0.5687270617826595,0.9958202838897705,0.9020013809204102
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.04249922030396685,0.44339862169110306,0.9849498271942139,0.9154929518699646
