experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.13064767707108124,0.3749193323832067,0.9465877413749695,0.873482346534729
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.14255026179006594,0.32244192335322125,0.9423317909240723,0.8832781314849854
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.14931541976904797,0.31699637838697914,0.9423237442970276,0.8830022215843201
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.22243157481740303,0.2931017410074373,0.9110066294670105,0.884748101234436
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.12730094870197334,0.3322997210424258,0.9500418305397034,0.8860812187194824
