experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.24540012658393395,0.25665043740349985,0.8618336679115295,0.9272343281364441
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.09575790203027387,0.23963382602105687,0.9624060392379761,0.9373773336410522
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.1486440014357691,0.1764705834174497,0.93626469373703,0.9531413316726685
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.12276166373903163,0.20640399331866124,0.9658176016616821,0.9420432448387146
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.13527741228083753,0.19551558903043903,0.9438951015472412,0.9493322968482971
