experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.19754586513668704,0.2936567340319341,0.9196967482566833,0.8833197355270386
3,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.06631367558848358,0.4513357192945318,0.9777848124504089,0.8825927376747131
3,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.036612262216529225,0.44185385939612903,0.989890456199646,0.8899456262588501
3,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.04880878304162722,0.4495221644275538,0.9840238690376282,0.883152186870575
3,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.009983584516926236,0.6292827012621592,0.9978929758071899,0.8837683796882629
