experiment,window,neighbors,train_acc,val_acc
2,100,1,1.0,0.6866721854304636
2,100,2,0.7901810584958218,0.5725717439293598
2,100,5,0.864066852367688,0.6985375275938189
2,100,10,0.7908077994428969,0.6567328918322296
2,100,50,0.761908077994429,0.7149558498896247
2,100,100,0.7435933147632312,0.7229580573951435
2,100,250,0.7066852367688022,0.7229580573951435
2,100,500,0.6458217270194986,0.7109547461368654
2,100,1000,0.49463788300835654,0.644453642384106
2,150,1,1.0,0.6864652317880795
2,150,2,0.7892812369410781,0.5860927152317881
2,150,5,0.8614709569577935,0.6990894039735099
2,150,10,0.790639364814041,0.6705298013245033
2,150,50,0.754283326368575,0.7286837748344371
2,150,100,0.7349561220225658,0.7295115894039735
2,150,250,0.6907647304638529,0.7245447019867549
2,150,500,0.5840994567488508,0.7001241721854304
2,150,1000,0.35896364396155456,0.589817880794702
2,200,1,1.0,0.7019867549668874
2,200,2,0.8017553636110337,0.5979580573951435
2,200,5,0.8644469211479521,0.7110927152317881
2,200,10,0.7875452772359989,0.679635761589404
2,200,50,0.7549456673168013,0.7362030905077263
2,200,100,0.7284758985789913,0.7273730684326711
2,200,250,0.659375870716077,0.7304083885209713
2,200,500,0.5241014210086375,0.6865342163355408
2,200,1000,0.3424352187238785,0.5474613686534217
2,250,1,1.0,0.7004830917874396
2,250,2,0.804249390456287,0.5917874396135265
2,250,5,0.8676419366074538,0.7170462387853692
2,250,10,0.7948450017415535,0.6773636991028296
2,250,50,0.7546151166840822,0.7298136645962733
2,250,100,0.7267502612330199,0.7353347135955831
2,250,250,0.6365377917102055,0.7353347135955831
2,250,500,0.4834552420759317,0.6438923395445134
2,250,1000,0.3106931382793452,0.46549344375431334
2,300,1,1.0,0.7091963545981773
2,300,2,0.8056020066889632,0.59983429991715
2,300,5,0.868938127090301,0.727837613918807
2,300,10,0.7890886287625418,0.6963545981772991
2,300,50,0.7531354515050167,0.728251864125932
2,300,100,0.7215719063545151,0.7377796188898095
2,300,250,0.5965719063545151,0.7290803645401823
2,300,500,0.4427257525083612,0.6433305716652858
2,300,1000,0.3081103678929766,0.4204639602319801
