experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
3,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.21052164909387094,0.26144275068528333,0.9133089780807495,0.8954088687896729
3,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.027480958174209306,0.5554374033715985,0.9921035766601562,0.8799429535865784
3,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.13582811168792777,0.3604371801305641,0.9508565068244934,0.886956512928009
3,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.006319384156699159,0.9049114917060765,0.9982444047927856,0.8851901888847351
3,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.010788415287441962,0.695173817000623,0.9970501661300659,0.8776509165763855
