experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.1392677567214355,0.33638632243248145,0.9436629414558411,0.8984547257423401
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.11170311410383256,0.38654883225588743,0.9552862644195557,0.9085264801979065
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.14684245585575265,0.26449676270858297,0.9391195178031921,0.9158388376235962
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.09726947091859793,0.3118391473133813,0.9602925777435303,0.9171842932701111
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.08014397826481823,0.2670316226248878,0.9682274460792542,0.9279204607009888
