experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.14267749455562873,0.5731204473962035,0.9432451128959656,0.8787251710891724
2,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.03983119244389921,0.9732078854090513,0.9877768754959106,0.8950744867324829
2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.037269631100470275,1.0907074089273407,0.9877403378486633,0.8959712982177734
2,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.025291945088008572,1.0912422228638268,0.9921630024909973,0.9037266969680786
2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.044491052721007215,0.793486372483223,0.9820234179496765,0.9072079658508301
