experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.06751631692858394,0.539828364705112,0.9760165810585022,0.8473821878433228
1,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.09690717980825811,0.4689265141189542,0.9615467190742493,0.8710247278213501
1,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.12796022419651543,0.287996419229062,0.9490117430686951,0.9039267301559448
1,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.23977387280093698,0.26837072397241296,0.897780179977417,0.8821218013763428
1,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.15391218956953887,0.2492360245430577,0.9408856630325317,0.9088766574859619
