experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.13194573662944675,0.43597297652791983,0.9473797082901001,0.8352094292640686
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.32010662181164856,0.31025726085318944,0.8584318161010742,0.849234402179718
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.35894045984120126,0.30574320623972967,0.8334288001060486,0.8740837574005127
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.033213480957575356,0.6225545321272219,0.9923021793365479,0.8457760214805603
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.33461853176329737,0.3235994600972566,0.8488821983337402,0.8609583377838135
