experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.19315487139549997,0.24628295623430968,0.9196019768714905,0.9212042093276978
1,150,"min-max-scaler (-1, 1)","(None, 150, 7)","(None, 3)",0.2264803651228115,0.20163092653724932,0.9049409031867981,0.9324695467948914
1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.21494978726063851,0.24160635209761508,0.9028931260108948,0.9376963376998901
1,250,"min-max-scaler (-1, 1)","(None, 250, 7)","(None, 3)",0.2359042052850474,0.18713911257155577,0.8983172178268433,0.9407334923744202
1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.04729691115612371,0.2290179535519048,0.985382616519928,0.9359779953956604
