experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
1,100,"min-max-scaler (-1, 1)","(None, 4, 25, 7)","(None, 3)",0.1428435887642128,0.3348793458272167,0.9417955279350281,0.8537958264350891
1,150,"min-max-scaler (-1, 1)","(None, 6, 25, 7)","(None, 3)",0.03231594939381044,0.5519878249695864,0.9890440106391907,0.8796623349189758
1,200,"min-max-scaler (-1, 1)","(None, 8, 25, 7)","(None, 3)",0.08650329197692652,0.3733148465930794,0.9673445820808411,0.8738219738006592
1,250,"min-max-scaler (-1, 1)","(None, 10, 25, 7)","(None, 3)",0.07781684086543021,0.30286531706816944,0.9692087173461914,0.9158480763435364
1,300,"min-max-scaler (-1, 1)","(None, 12, 25, 7)","(None, 3)",0.06848130353044972,0.3421996119874767,0.9750645160675049,0.8947368264198303
