experiment,window,clusters,train_acc,val_acc
2,100,3,0.5353064066852368,0.5575331125827815
2,150,3,0.5429377350605934,0.5769867549668874
2,200,3,0.5479242128726665,0.5852649006622517
2,250,3,0.5532915360501567,0.5938578329882678
2,300,3,0.5604096989966555,0.6031483015741508
